query,lat,lon,display
"100 Grand Fairway, TX 77381",30.1893618,-95.5213084,"Palmer Course - General nine, 100, Grand Fairway, Cochran's Crossing, The Woodlands, Montgomery County, Texas, 77381, United States"
"1730 S. Millbend DR, TX 77381",30.1432529,-95.4620950,"1730, South Millbend Drive, Grogan's Mill, Town Center, The Woodlands, Montgomery County, Texas, 77380, United States"
"1730 S. Millbend DR, TX 77380",30.1432529,-95.4620950,"1730, South Millbend Drive, Grogan's Mill, The Woodlands, Montgomery County, Texas, 77380, United States"
"3522 Bluebonnett Blvd, TX 77025",,,
STRUCT|city=Houston|postalcode=77008|state=TX,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States"
STRUCT|city=Houston|postalcode=77479|state=TX,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States"
STRUCT|city=Houston|postalcode=77007|state=TX,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States"
STRUCT|city=Spring|postalcode=77382|state=TX,30.0795707,-95.4187924,"Spring, Harris County, Texas, 77373, United States"
STRUCT|city=Spring|postalcode=77381|state=TX,30.0795707,-95.4187924,"Spring, Harris County, Texas, 77373, United States"
STRUCT|city=Allen|postalcode=75013|state=TX,33.1031744,-96.6705503,"Allen, Collin County, Texas, United States"
STRUCT|city=Dallas|postalcode=75287|state=TX,32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States"
STRUCT|city=Dallas|postalcode=75240|state=TX,32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States"
STRUCT|city=Plano|postalcode=75093|state=TX,33.0136764,-96.6925096,"Plano, Collin County, Texas, United States"
STRUCT|city=Plano|postalcode=75024|state=TX,33.0136764,-96.6925096,"Plano, Collin County, Texas, United States"
STRUCT|city=The Colony|postalcode=75056|state=TX,33.0890094,-96.8863922,"The Colony, Denton County, Texas, 75056, United States"
STRUCT|city=Fort Worth|postalcode=76107|state=TX,32.7531770,-97.3327459,"Fort Worth, Tarrant County, Texas, United States"
STRUCT|city=Dallas|postalcode=75230|state=TX,32.7762719,-96.7968559,"Dallas, Dallas County, Texas, United States"
STRUCT|city=Frisco|postalcode=75034|state=TX,33.1505998,-96.8238183,"Frisco, Collin County, Texas, United States"
STRUCT|city=Houston|postalcode=77063|state=TX,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States"
STRUCT|city=Spring|postalcode=77389|state=TX,30.0795707,-95.4187924,"Spring, Harris County, Texas, 77373, United States"
STRUCT|city=Montgomery|postalcode=77356|state=TX,30.3882613,-95.6963355,"Montgomery, Montgomery County, Texas, United States"
STRUCT|city=Houston|postalcode=77027|state=TX,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States"
STRUCT|city=Woodlands|postalcode=77380|state=TX,30.1734194,-95.5046860,"The Woodlands, Montgomery County, Texas, United States"
STRUCT|city=Houston|postalcode=77056|state=TX,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States"
STRUCT|city=Houston|postalcode=77025|state=TX,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States"
"2603 Fountain Key Blvd., Houston, TX",,,
"77008, TX",29.8000436,-95.4224830,"77008, Houston Heights, Houston, Harris County, Texas, United States"
"1914 Westcott Suite 100, Houston, TX",,,
"77479, TX",29.5748812,-95.6195842,"77479, Sugar Land, Fort Bend County, Texas, United States"
"9000 Hempstead Rd #366, Houston, TX",29.7932210,-95.4486440,"9000, Hempstead Road, Washington Avenue Coalition / Memorial Park, Houston, Harris County, Texas, 77008, United States"
"5303 Calle Cadiz Place, Houston, TX",,,
"77007, TX",29.7707543,-95.4024187,"77007, Washington Avenue Corridor, Houston, Harris County, Texas, United States"
"51 West Brace Bridge, Spring, TX",,,
"77382, TX",30.1921925,-95.5430793,"77382, Sterling Ridge, The Woodlands, Montgomery County, Texas, United States"
"4800 W Panther Creek Ste 200, Spring, TX",,,
"77381, TX",30.1777071,-95.5036939,"77381, Cochran's Crossing, The Woodlands, Montgomery County, Texas, United States"
"815 Market St Bldg Q1, Allen, TX",,,
"75013, TX",33.1129110,-96.6891868,"75013, Allen, Collin County, Texas, United States"
"18352 Dallas Pkwy #100, Dallas, TX",32.9993563,-96.8280899,"Domino's, 18352, Dallas Parkway, Dallas, Collin County, Texas, 75287, United States"
"13350 Dallas Pkwy #100, Dallas, TX",32.9315359,-96.8201120,"13350, Dallas Parkway, Inwood, Dallas, Dallas County, Texas, 75240, United States"
"4001 Preston Rd #502, Plano, TX",33.0510039,-96.7950742,"4001, Preston Road, Plano, Collin County, Texas, 75093, United States"
"5760 Legacy Dr #B7, Plano, TX",,,
"75024, TX",33.0832146,-96.7871116,"75024, Plano, Collin County, Texas, United States"
"5400 Nebraska Furniture Dr, The Colony, TX",33.0718110,-96.8726480,"5400, Nebraska Furniture Mart Drive, Grandscape, Camey, The Colony, Denton County, Texas, 75056, United States"
"4601 West Fwy #100, Fort Worth, TX",,,
"76107, TX",32.7393404,-97.3795403,"76107, Fort Worth, Tarrant County, Texas, United States"
"11661 Preston Rd #138, Dallas, TX",32.9090326,-96.8048346,"11661, Preston Road, Dallas, Dallas County, Texas, 75248, United States"
"6740 Winning Dr #1010, Frisco, TX",33.1072638,-96.8278942,"6740, Winning Drive, Dallas Cowboys & Frisco Multi Event Center, Frisco, Collin County, Texas, 75034, United States"
"1018 River Glynn, Houston, TX",,,
"77063, TX",29.7326238,-95.5166911,"77063, Houston, Harris County, Texas, United States"
"27 Thornblade Circle Spring, TX, Spring, TX",,,
"77389, TX",30.0949971,-95.4877747,"77389, Harris County, Texas, United States"
"102 Benthaven CT, Montgomery, TX",,,
"77356, TX",30.3972231,-95.6468638,"77356, Conroe, Montgomery County, Texas, United States"
"2200 W Loop S Fwy, Houston, TX",,,
"77027, TX",29.7411979,-95.4486753,"77027, Houston, Harris County, Texas, United States"
"21 Waterway Ave. # 500, Woodlands, TX",30.1602263,-95.4594662,"21, Waterway Avenue, Town Center, The Woodlands, Montgomery County, Texas, 77380, United States"
"5330 Wilers Way, Houston TX, Houston, TX",,,
"77056, TX",29.7448275,-95.4674448,"77056, Uptown, Houston, Harris County, Texas, United States"
"3522 Bluebonnett Blvd, Houston, TX",,,
"77025, TX",29.6869075,-95.4311604,"77025, Houston, Harris County, Texas, United States"
"CENSUS|2603 Fountain Key Blvd., Houston, TX 77008",,,
"CENSUS|1914 Westcott Suite 100, Houston, TX 77479",,,
"CENSUS|5303 Calle Cadiz Place, Houston, TX 77007",29.765082503749,-95.414862568882,"census: 5303 CALLE CADIZ PL, HOUSTON, TX, 77007"
"CENSUS|51 West Brace Bridge, Spring, TX 77382",30.174582897091,-95.549084539252,"census: 51 W BRACEBRIDGE CIR, SPRING, TX, 77382"
"CENSUS|4800 W Panther Creek Ste 200, Spring, TX 77381",30.166381019312,-95.502501454042,"census: 4800 W PANTHER CREEK DR, SPRING, TX, 77381"
"CENSUS|815 Market St Bldg Q1, Allen, TX 75013",33.086967531314,-96.684027575915,"census: 815 MARKET ST, ALLEN, TX, 75013"
"CENSUS|5760 Legacy Dr #B7, Plano, TX 75024",33.07783141846,-96.82084071126,"census: 5760 LEGACY DR, PLANO, TX, 75024"
"CENSUS|4601 West Fwy #100, Fort Worth, TX 76107",,,
"CENSUS|1018 River Glynn, Houston, TX 77063",29.756782303508,-95.50176797482,"census: 1018 RIVER GLYNN DR, HOUSTON, TX, 77063"
"CENSUS|27 Thornblade Circle Spring, TX, Spring, TX 77389",30.154667094976,-95.533286165983,"census: 27 THORNBLADE CIR, SPRING, TX, 77389"
"CENSUS|102 Benthaven CT, Montgomery, TX 77356",30.411671808563,-95.616999631493,"census: 102 BENTHAVEN CT, MONTGOMERY, TX, 77356"
"CENSUS|2200 W Loop S Fwy, Houston, TX 77027",29.745656444215,-95.457538541221,"census: 2200 W LOOP S SVC RD, HOUSTON, TX, 77056"
"CENSUS|5330 Wilers Way, Houston TX, Houston, TX 77056",29.747990272478,-95.468486380459,"census: 5330 WILLERS WAY, HOUSTON, TX, 77056"
"CENSUS|3522 Bluebonnett Blvd, Houston, TX 77025",29.700576175081,-95.430109381378,"census: 3522 BLUE BONNET BLVD, HOUSTON, TX, 77025"
"Sims, Darcy
273 Promenade Street East
Montgomery, Texas, TX 77356",,,
"Sims, Darcy
273 Promenade Street East
Montgomery, Texas, Montgomery, TX, 77356",,,
"Sims, Darcy
273 Promenade Street East
Montgomery, Texas, Montgomery, TX",,,
"CENSUS|Sims, Darcy
273 Promenade Street East
Montgomery, Texas, Montgomery, TX 77356",,,
